"site","true_N","est_N","lambda","p"
1,4,1.23,1.32502178775668,0.327143998734021
2,3,1.66,1.32502178775668,0.327143998734021
3,3,1.66,1.32502178775668,0.327143998734021
4,2,1.41,1.32502178775668,0.327143998734021
5,1,1.12,1.32502178775668,0.327143998734021
6,5,4.04,1.32502178775668,0.327143998734021
7,2,1.66,1.32502178775668,0.327143998734021
8,0,0.12,1.32502178775668,0.327143998734021
9,1,0.12,1.32502178775668,0.327143998734021
10,3,2.26,1.32502178775668,0.327143998734021
11,1,1.12,1.32502178775668,0.327143998734021
12,0,0.12,1.32502178775668,0.327143998734021
13,1,1.23,1.32502178775668,0.327143998734021
14,4,1.23,1.32502178775668,0.327143998734021
15,3,2.51,1.32502178775668,0.327143998734021
16,1,0.12,1.32502178775668,0.327143998734021
17,1,1.23,1.32502178775668,0.327143998734021
18,4,2.37,1.32502178775668,0.327143998734021
19,1,1.12,1.32502178775668,0.327143998734021
20,0,0.12,1.32502178775668,0.327143998734021
